processed 8693 tokens with 756 phrases; found: 769 phrases; correct: 282.
accuracy:  83.79%; precision:  36.67%; recall:  37.30%; FB1:  36.98
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
    ACONTECIMENTO: precision: 100.00%; recall:   4.55%; FB1:   8.70  1
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  8
            LOCAL: precision:  41.04%; recall:  53.05%; FB1:  46.28  212
             OBRA: precision:  27.27%; recall:  12.50%; FB1:  17.14  11
      ORGANIZACAO: precision:  14.29%; recall:  24.56%; FB1:  18.06  98
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:  47.79%; recall:  40.91%; FB1:  44.08  226
            TEMPO: precision:  33.33%; recall:  43.24%; FB1:  37.65  192
            VALOR: precision:  26.32%; recall:  17.86%; FB1:  21.28  19
