processed 6443 tokens with 682 phrases; found: 11 phrases; correct: 4.
accuracy:  78.52%; precision:  36.36%; recall:   0.59%; FB1:   1.15
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  75.00%; recall:   2.04%; FB1:   3.97  4
             OBRA: precision:  50.00%; recall:   3.33%; FB1:   6.25  2
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
