processed 894 tokens with 92 phrases; found: 83 phrases; correct: 50.
accuracy:  90.16%; precision:  60.24%; recall:  54.35%; FB1:  57.14
ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
ACONTECIMENTO_ORGANIZADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
     LOCAL_HUMANO: precision:  60.87%; recall:  66.67%; FB1:  63.64  23
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       OBRA_PLANO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 OBRA_REPRODUZIDA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ORGANIZACAO_ADMINISTRACAO: precision:  50.00%; recall:  50.00%; FB1:  50.00  2
ORGANIZACAO_EMPRESA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ORGANIZACAO_INSTITUICAO: precision:  33.33%; recall:  33.33%; FB1:  33.33  6
     PESSOA_CARGO: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
PESSOA_GRUPOCARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  PESSOA_GRUPOIND: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
PESSOA_GRUPOMEMBRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
PESSOA_INDIVIDUAL: precision:  69.23%; recall:  69.23%; FB1:  69.23  26
 TEMPO_FREQUENCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
TEMPO_TEMPO_CALEND: precision:  91.67%; recall:  73.33%; FB1:  81.48  12
      VALOR_MOEDA: precision: 100.00%; recall:  42.86%; FB1:  60.00  3
 VALOR_QUANTIDADE: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
