processed 2240 tokens with 257 phrases; found: 17 phrases; correct: 2.
accuracy:  73.57%; precision:  11.76%; recall:   0.78%; FB1:   1.46
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   2.17%; FB1:   4.26  1
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
            TEMPO: precision:   6.67%; recall:   2.63%; FB1:   3.77  15
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
