processed 9074 tokens with 779 phrases; found: 46 phrases; correct: 3.
accuracy:  82.72%; precision:   6.52%; recall:   0.39%; FB1:   0.73
       ABSTRACCAO: precision: 100.00%; recall:   2.33%; FB1:   4.55  1
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   1.48%; FB1:   2.92  2
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  40
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
