processed 9349 tokens with 849 phrases; found: 53 phrases; correct: 7.
accuracy:  81.65%; precision:  13.21%; recall:   0.82%; FB1:   1.55
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   4.38%; FB1:   8.39  6
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            TEMPO: precision:   2.56%; recall:   0.64%; FB1:   1.03  39
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
