processed 7135 tokens with 598 phrases; found: 29 phrases; correct: 1.
accuracy:  81.89%; precision:   3.45%; recall:   0.17%; FB1:   0.32
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
            TEMPO: precision:   5.00%; recall:   1.10%; FB1:   1.80  20
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
