THANKSGIVING	B-ACONTECIMENTO
COM	O
MINE	O
DE	O
RIEN	O
Na	B-TEMPO
noite	I-TEMPO
de	I-TEMPO
Acção	I-TEMPO
de	I-TEMPO
Graças	I-TEMPO
apresento	O
-	O
vos	O
um	O
blogue	O
escrito	O
dos	O
EUA	B-LOCAL
,	O
da	O
cidade	O
onde	O
eu	O
várias	B-TEMPO
vezes	I-TEMPO
passei	O
este	O
feriado	O
.	O
Evidentemente	O
,	O
é	O
mais	O
um	O
blogue	O
de	O
um	O
LEFTista	O
(	O
embora	O
neste	O
caso	O
não	O
vá	O
insistir	O
muito	O
no	O
aspecto	O
LEFT	B-ABSTRACCAO
porque	O
o	O
rapaz	O
nem	O
é	O
muito	O
disso	O
...	O
)	O
.	O
O	O
autor	O
,	O
para	O
além	O
de	O
um	O
velho	O
amigo	O
-	O
conheço	O
-	O
o	O
desde	O
caloiro	O
-	O
,	O
é	O
uma	O
pessoa	O
interessantíssima	O
,	O
e	O
tem	O
com	O
certeza	O
uma	O
perspectiva	O
muito	O
sua	O
a	O
acrescentar	O
ao	O
assunto	O
para	O
mim	O
fascinante	O
das	O
relações	O
entre	O
a	O
Europa	B-ORGANIZACAO
e	O
a	O
América	B-ORGANIZACAO
,	O
o	O
Velho	B-LOCAL
e	O
o	O
Novo	B-LOCAL
Continente	I-LOCAL
.	O
Antes	O
de	O
eu	O
ir	O
para	O
os	O
EUA	B-LOCAL
falava	O
-	O
me	O
entusiasmadíssimo	O
do	O
american	O
way	O
of	O
life	O
e	O
de	O
como	O
era	O
boa	O
a	O
comida	O
nas	O
universidades	O
americanas	O
-	O
a	O
escolha	O
de	O
pizzas	O
!	O
os	O
hot	O
-	O
dogs	O
!	O
os	O
hamburgers	O
!	O
-	O
sem	O
se	O
aperceber	O
de	O
como	O
me	O
estava	O
a	O
deixar	O
horrorizado	O
.	O
Depois	O
da	O
LEFT	B-ABSTRACCAO
o	O
Pedro	B-PESSOA
veio	O
para	O
Paris	B-LOCAL
fazer	O
Teoria	B-ABSTRACCAO
de	I-ABSTRACCAO
Cordas	I-ABSTRACCAO
.	O
Na	O
Cité	B-ORGANIZACAO
Universitaire	I-ORGANIZACAO
arranjou	O
maneira	O
de	O
não	O
ficar	O
muito	B-TEMPO
tempo	I-TEMPO
na	O
Residência	B-LOCAL
André	I-LOCAL
de	I-LOCAL
Gouveia	I-LOCAL
,	O
indo	O
antes	O
para	O
uma	O
