processed 9279 tokens with 907 phrases; found: 59 phrases; correct: 3.
accuracy:  80.15%; precision:   5.08%; recall:   0.33%; FB1:   0.62
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  75.00%; recall:   1.75%; FB1:   3.43  4
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  47
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
