processed 6478 tokens with 356 phrases; found: 274 phrases; correct: 136.
accuracy:  94.72%; precision:  49.64%; recall:  38.20%; FB1:  43.17
I-ABSTRACCAO_NOME_: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-ACONTECIMENTO_EFEMERIDE_: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-ACONTECIMENTO_EVENTO_: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-LOCAL_FISICO_AGUACURSO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-LOCAL_FISICO_AGUAMASSA: precision:  75.00%; recall: 100.00%; FB1:  85.71  4
I-LOCAL_FISICO_ILHA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-LOCAL_FISICO_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-LOCAL_FISICO_REGIAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-LOCAL_FISICO_RELEVO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-LOCAL_HUMANO_CONSTRUCAO: precision:  33.33%; recall:   6.67%; FB1:  11.11  3
I-LOCAL_HUMANO_DIVISAO: precision:  72.22%; recall:  20.63%; FB1:  32.10  18
I-LOCAL_HUMANO_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-LOCAL_HUMANO_PAIS: precision:  71.88%; recall:  51.11%; FB1:  59.74  32
I-LOCAL_HUMANO_REGIAO: precision:  25.00%; recall:  20.00%; FB1:  22.22  4
I-LOCAL_HUMANO_RUA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-LOCAL_VIRTUAL_COMSOCIAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-LOCAL_VIRTUAL_SITIO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
     I-OBRA_ARTE_: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-OBRA_ARTE_EDIFICIO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
I-OBRA_REPRODUZIDA_FILME: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-OBRA_REPRODUZIDA_LIVRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  9
I-OBRA_REPRODUZIDA_MUSICA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-ORGANIZACAO_ADMINISTRACAO_: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
I-ORGANIZACAO_INSTITUICAO_: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
I-TEMPO_TEMPO_CALEND_DATA: precision:  69.85%; recall:  56.21%; FB1:  62.30  136
I-TEMPO_TEMPO_CALEND_HORA: precision:   0.00%; recall:   0.00%; FB1:   0.00  53
I-TEMPO_TEMPO_CALEND_INTERVALO: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
