processed 6838 tokens with 673 phrases; found: 26 phrases; correct: 2.
accuracy:  80.40%; precision:   7.69%; recall:   0.30%; FB1:   0.57
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   1.03%; FB1:   2.04  1
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  23
            VALOR: precision:  50.00%; recall:   3.45%; FB1:   6.45  2
