processed 9108 tokens with 790 phrases; found: 40 phrases; correct: 4.
accuracy:  83.61%; precision:  10.00%; recall:   0.51%; FB1:   0.96
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  75.00%; recall:   1.85%; FB1:   3.61  4
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            TEMPO: precision:   3.23%; recall:   0.79%; FB1:   1.27  31
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
