processed 8851 tokens with 766 phrases; found: 33 phrases; correct: 4.
accuracy:  83.55%; precision:  12.12%; recall:   0.52%; FB1:   1.00
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   2.63%; FB1:   5.13  3
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  6
            TEMPO: precision:   4.17%; recall:   0.81%; FB1:   1.36  24
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
