processed 12698 tokens with 1015 phrases; found: 43 phrases; correct: 3.
accuracy:  84.30%; precision:   6.98%; recall:   0.30%; FB1:   0.57
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  50.00%; recall:   0.55%; FB1:   1.08  2
             OBRA: precision:  25.00%; recall:   1.92%; FB1:   3.57  4
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  6
            TEMPO: precision:   3.33%; recall:   0.59%; FB1:   1.01  30
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
