processed 23527 tokens with 610 phrases; found: 338 phrases; correct: 233.
accuracy:  96.55%; precision:  68.93%; recall:  38.20%; FB1:  49.16
LOCAL_FISICO_AGUACURSO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_FISICO_AGUAMASSA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
LOCAL_FISICO_ILHA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_FISICO_REGIAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
LOCAL_FISICO_RELEVO: precision: 100.00%; recall:  28.57%; FB1:  44.44  2
LOCAL_HUMANO_CONSTRUCAO: precision:  40.00%; recall:   6.06%; FB1:  10.53  10
LOCAL_HUMANO_DIVISAO: precision:  69.41%; recall:  47.97%; FB1:  56.73  85
LOCAL_HUMANO_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_HUMANO_PAIS: precision:  68.06%; recall:  48.51%; FB1:  56.65  72
LOCAL_HUMANO_REGIAO: precision:  25.00%; recall:   6.67%; FB1:  10.53  4
 LOCAL_HUMANO_RUA: precision: 100.00%; recall:  14.29%; FB1:  25.00  1
LOCAL_VIRTUAL_COMSOCIAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_VIRTUAL_SITIO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
OBRA_ARTE_CONSTRUCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  OBRA_ARTE_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
OBRA_REPRODUZIDA_FILME: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
OBRA_REPRODUZIDA_LIVRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
OBRA_REPRODUZIDA_MUSICA: precision: 100.00%; recall:  16.67%; FB1:  28.57  1
OBRA_REPRODUZIDA_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ORGANIZACAO_ADMINISTRACAO_SUB: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ORGANIZACAO_INSTITUICAO_SUB: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
TEMPO_TEMPO_CALEND_DATA: precision:  71.81%; recall:  54.87%; FB1:  62.21  149
TEMPO_TEMPO_CALEND_HORA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
TEMPO_TEMPO_CALEND_INTERVALO: precision: 100.00%; recall:  32.14%; FB1:  48.65  9
