precision: 59.62	recall: 54.26	FB1: 56.81	M_FB1: 56.82	accuracy: 91.55
precision: 41.50	recall: 23.00	FB1: 28.22	MFB1: 29.60	ACONTECIMENTO
precision: 42.22	recall: 12.64	FB1: 18.27	MFB1: 19.45	COISA
precision: 49.52	recall: 47.61	FB1: 48.35	MFB1: 48.55	ORGANIZACAO
precision: 78.50	recall: 64.78	FB1: 70.63	MFB1: 70.99	TEMPO
precision: 40.83	recall: 32.67	FB1: 35.34	MFB1: 36.30	OBRA
precision: 67.94	recall: 53.52	FB1: 59.72	MFB1: 59.88	VALOR
precision: 30.00	recall: 06.05	FB1: 09.67	MFB1: 10.07	OUTRO
precision: 58.14	recall: 70.43	FB1: 63.50	MFB1: 63.70	PESSOA
precision: 60.05	recall: 64.63	FB1: 62.03	MFB1: 62.25	LOCAL
precision: 36.45	recall: 09.96	FB1: 14.89	MFB1: 15.65	ABSTRACCAO
