processed 12041 tokens with 1067 phrases; found: 33 phrases; correct: 1.
accuracy:  84.02%; precision:   3.03%; recall:   0.09%; FB1:   0.18
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   0.38%; FB1:   0.77  1
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  29
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
