processed 1056 tokens with 112 phrases; found: 199 phrases; correct: 42.
accuracy:  80.59%; precision:  21.11%; recall:  37.50%; FB1:  27.01
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  65.38%; recall:  45.95%; FB1:  53.97  26
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  9
      ORGANIZACAO: precision:  30.00%; recall:  25.00%; FB1:  27.27  10
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
           PESSOA: precision:  13.64%; recall:  45.00%; FB1:  20.93  66
            TEMPO: precision:  16.18%; recall:  47.83%; FB1:  24.18  68
            VALOR: precision:  22.22%; recall:  25.00%; FB1:  23.53  9
