processed 10516 tokens with 896 phrases; found: 28 phrases; correct: 5.
accuracy:  82.37%; precision:  17.86%; recall:   0.56%; FB1:   1.08
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  83.33%; recall:   2.79%; FB1:   5.41  6
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  15
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
