processed 9675 tokens with 690 phrases; found: 22 phrases; correct: 6.
accuracy:  87.10%; precision:  27.27%; recall:   0.87%; FB1:   1.69
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   3.36%; FB1:   6.49  5
             OBRA: precision:  16.67%; recall:   3.70%; FB1:   6.06  6
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  6
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
