processed 11234 tokens with 1052 phrases; found: 31 phrases; correct: 3.
accuracy:  80.73%; precision:   9.68%; recall:   0.29%; FB1:   0.55
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   1.20%; FB1:   2.38  2
             OBRA: precision:  33.33%; recall:   1.23%; FB1:   2.38  3
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  24
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
