processed 9555 tokens with 755 phrases; found: 28 phrases; correct: 7.
accuracy:  83.86%; precision:  25.00%; recall:   0.93%; FB1:   1.79
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision: 100.00%; recall:   2.22%; FB1:   4.35  3
             OBRA: precision: 100.00%; recall:   2.33%; FB1:   4.55  1
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
            TEMPO: precision:  23.08%; recall:   2.75%; FB1:   4.92  13
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
