processed 7588 tokens with 724 phrases; found: 22 phrases; correct: 6.
accuracy:  80.23%; precision:  27.27%; recall:   0.83%; FB1:   1.61
       ABSTRACCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    ACONTECIMENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            COISA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            LOCAL: precision:  85.71%; recall:   4.08%; FB1:   7.79  7
             OBRA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
      ORGANIZACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
            OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           PESSOA: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            TEMPO: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
            VALOR: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
